t_host_s,baro.temp_C,pm.batteryLevel_pct,pm.chargeCurrent_mA,pm.state,pm.vbat_V
28.590,33.475,10.000,0.762,1,3.758
28.790,33.490,10.000,0.800,1,3.758
28.991,33.490,10.000,0.780,1,3.758
29.190,33.514,10.000,0.749,1,3.758
29.389,33.543,10.000,0.815,1,3.758
29.590,33.562,10.000,0.767,1,3.758
29.789,33.585,10.000,0.747,1,3.764
29.990,33.609,10.000,0.763,1,3.764
30.189,33.631,10.000,0.801,1,3.764
30.389,33.653,10.000,0.773,1,3.764
30.588,33.663,10.000,0.756,1,3.764
30.789,33.675,10.000,0.801,1,3.764
30.989,33.700,10.000,0.731,1,3.764
31.189,33.714,10.000,0.735,1,3.764
31.389,33.730,10.000,0.774,1,3.764
31.589,33.738,10.000,0.770,1,3.764
31.789,33.737,10.000,0.728,1,3.764
31.988,33.752,10.000,0.794,1,3.764
32.188,33.774,10.000,0.736,1,3.764
32.387,33.790,10.000,0.752,1,3.764
32.587,33.815,10.000,0.722,1,3.764
32.788,33.831,10.000,0.745,1,3.764
32.987,33.844,10.000,0.778,1,3.769
33.187,33.848,10.000,0.795,1,3.769
33.388,33.851,10.000,0.747,1,3.769
33.587,33.861,10.000,0.728,1,3.769
33.787,33.884,10.000,0.745,1,3.769
33.987,33.894,10.000,0.750,1,3.769
34.187,33.917,10.000,0.745,1,3.769
34.388,33.937,10.000,0.752,1,3.769
34.586,33.956,10.000,0.722,1,3.769
34.786,33.977,10.000,0.767,1,3.769
34.986,33.995,10.000,0.757,1,3.769
35.185,34.011,10.000,0.767,1,3.769
35.386,34.022,10.000,0.753,1,3.774
35.586,34.026,10.000,0.718,1,3.769
35.786,34.033,10.000,0.769,1,3.774
35.985,34.053,10.000,0.756,1,3.774
36.185,34.067,10.000,0.797,1,3.774
36.384,34.085,10.000,0.745,1,3.774
36.586,34.092,10.000,0.784,1,3.774
36.785,34.091,10.000,0.704,1,3.774
36.985,34.124,10.000,0.764,1,3.774
37.185,34.147,10.000,0.756,1,3.774
37.386,34.167,10.000,0.743,1,3.774
37.584,34.176,10.000,0.766,1,3.779
37.789,34.194,10.000,0.769,1,3.779
37.984,34.202,10.000,0.750,1,3.779
38.184,34.213,10.000,0.747,1,3.774
38.384,34.235,10.000,0.785,1,3.779
38.585,34.252,10.000,0.746,1,3.779
38.784,34.262,10.000,0.762,1,3.779
38.983,34.285,10.000,0.784,1,3.779
39.183,34.303,10.000,0.694,1,3.779
39.383,34.319,10.000,0.778,1,3.779
39.583,34.339,10.000,0.738,1,3.779
39.783,34.354,10.000,0.788,1,3.779
39.984,34.373,20.000,0.797,1,3.779
40.183,34.375,10.000,0.750,1,3.779
40.383,34.372,20.000,0.783,1,3.779
40.582,34.381,20.000,0.767,1,3.785
40.782,34.388,20.000,0.740,1,3.779
40.983,34.400,20.000,0.747,1,3.785
41.182,34.420,20.000,0.766,1,3.785
41.383,34.443,20.000,0.754,1,3.785
41.582,34.460,10.000,0.794,1,3.785
41.782,34.474,20.000,0.674,1,3.785
41.982,34.477,20.000,0.753,1,3.785
42.182,34.495,20.000,0.802,1,3.785
42.381,34.503,20.000,0.754,1,3.785
42.581,34.512,20.000,0.715,1,3.785
42.782,34.511,20.000,0.802,1,3.785
42.981,34.521,20.000,0.777,1,3.785
43.181,34.520,20.000,0.745,1,3.790
43.381,34.532,20.000,0.766,1,3.785
43.581,34.542,20.000,0.784,1,3.790
43.781,34.556,20.000,0.784,1,3.790
43.983,34.583,20.000,0.809,1,3.790
44.181,34.598,20.000,0.787,1,3.790
44.382,34.622,20.000,0.759,1,3.790
44.580,34.636,20.000,0.808,1,3.790
44.779,34.652,20.000,0.715,1,3.790
44.980,34.659,20.000,0.757,1,3.790
45.179,34.663,20.000,0.753,1,3.790
45.381,34.660,20.000,0.743,1,3.790
45.580,34.673,20.000,0.788,1,3.795
45.781,34.688,20.000,0.769,1,3.790
45.979,34.709,20.000,0.774,1,3.795
46.179,34.736,20.000,0.792,1,3.795
46.380,34.748,20.000,0.805,1,3.795
46.579,34.773,20.000,0.781,1,3.795
46.780,34.785,20.000,0.750,1,3.790
46.978,34.796,20.000,0.752,1,3.795
47.179,34.808,20.000,0.726,1,3.790
47.378,34.819,20.000,0.776,1,3.795
47.578,34.829,20.000,0.774,1,3.790
47.779,34.844,20.000,0.777,1,3.795
47.980,34.852,20.000,0.735,1,3.795
48.177,34.861,20.000,0.735,1,3.795
48.377,34.884,20.000,0.740,1,3.795
48.578,34.898,20.000,0.766,1,3.795
48.777,34.913,20.000,0.762,1,3.795
48.979,34.926,20.000,0.749,1,3.795
49.178,34.934,20.000,0.704,1,3.795
49.377,34.933,20.000,0.753,1,3.795
49.577,34.940,20.000,0.787,1,3.795
49.778,34.940,20.000,0.754,1,3.795
49.977,34.955,20.000,0.767,1,3.795
50.178,34.974,20.000,0.783,1,3.801
50.377,34.995,20.000,0.764,1,3.801
50.576,35.012,20.000,0.776,1,3.795
50.776,35.021,20.000,0.764,1,3.795
50.977,35.030,20.000,0.774,1,3.801
51.176,35.043,20.000,0.731,1,3.795
51.376,35.056,20.000,0.773,1,3.801
51.576,35.073,20.000,0.724,1,3.801
51.776,35.085,20.000,0.764,1,3.801
51.976,35.091,20.000,0.764,1,3.801
52.176,35.086,20.000,0.771,1,3.801
52.375,35.093,20.000,0.729,1,3.801
52.575,35.110,20.000,0.725,1,3.806
52.775,35.131,20.000,0.780,1,3.801
52.977,35.152,20.000,0.756,1,3.801
